reference_label,entity_id,reference_text,authors,title,document_type,source_container,year,citation_count,thesis_pages,mapping_status,metadata_verification
1,E001,"杨刚. 创客教育:我国创新教育发展的新路径[J].中国电化教育,2016(03):8-13+20.",杨刚,创客教育:我国创新教育发展的新路径,J,中国电化教育,2016,1,1,已匹配,仅据论文原表
2,E002,State of the Union 2013 [EB/OL].(2013-02-12)[2015-01-30].  http://www.whitehouse.gov/the-press-office/2013/02/12/remarkspresident-state-un ion-address.,,,,,,1,1,已匹配,仅据论文原表
3,E003,"李青,王青. 3D 打印:一种新兴的学习技术[J].远程教育杂志,2013,31(04):29-35.","李青,王青",3D 打印:一种新兴的学习技术,J,远程教育杂志,2013,1,4,已匹配,仅据论文原表
4,E004,"何强. 3D 打印技术在高中校本课程的开发与实施[D].福建师范大学,2015.",何强,3D 打印技术在高中校本课程的开发与实施,D,福建师范大学,2015,1,4,已匹配,仅据论文原表
5,E005,"克里斯·安德森. 创客:新工业革命[M].北京:中信出版社,2012.",克里斯·安德森,创客:新工业革命,M,北京:中信出版社,2012,1,5,已匹配,仅据论文原表
6,E006,"杨现民,李冀红. 创客教育的价值潜能及其争议[J].现代远程教育研 究,2015(02):23-34.","杨现民,李冀红",创客教育的价值潜能及其争议,J,现代远程教育研 究,2015,1,5,已匹配,仅据论文原表
7,E007,"何克抗. 论创客教育与创新教育[J].教育研究,2016,37(04):12-24+40.",何克抗,论创客教育与创新教育,J,教育研究,2016,1,5,已匹配,仅据论文原表
8,E008,"祝智庭,孙妍妍. 创客教育:信息技术使能的创新教育实践场[J].中国电化教 育,2015(01):14-21.","祝智庭,孙妍妍",创客教育:信息技术使能的创新教育实践场,J,中国电化教 育,2015,1,5,已匹配,仅据论文原表
9,E009,"王斌华. 校本课程论[M]. 上海：上海教育出版社, 2000:1.",王斌华,校本课程论,M,,2000,1,5,已匹配,仅据论文原表
10,E010,"甘泉,刘玉梅. 校本课程的设计与开发[J].软件导刊(教育技术),2010,9(10):23-25.","甘泉,刘玉梅",校本课程的设计与开发,J,软件导刊(教育技术),2010,1,6,已匹配,仅据论文原表
11,E011,"徐玉珍. 校本课程开发:概念解读[J].课程.教材.教法,2001(04):12-17.",徐玉珍,校本课程开发:概念解读,J,课程.教材.教法,2001,1,6,已匹配,仅据论文原表
12,E012,"BRADY. Curriculum Development[M/OL].2nd ed. Australia：Prentice Hall of  Australia Pty Ltd,1987:25.",,,,,1987,1,7,已匹配,仅据论文原表
13,E013,"崔允漷. 校本课程开发：理论与实践[M].北京：教育科学出版社,2000:78-89.",崔允漷,校本课程开发：理论与实践,M,北京：教育科学出版社,2000,1,7,已匹配,仅据论文原表
14,E014,"王贵成, 夏玉颜, 蔡锦超. 成果导向教育模式及其借鉴[J]. 当代教育论坛,  2009(23):17-19.","王贵成, 夏玉颜, 蔡锦超",成果导向教育模式及其借鉴,J,,2009,1,8,已匹配,仅据论文原表
15,E015,"李志义. 解析工程教育专业认证的成果导向理念[J]. 中国高等教育,  2014(17):7-10.",李志义,解析工程教育专业认证的成果导向理念,J,,2014,1,8,已匹配,仅据论文原表
16,E016,"何静, 孔繁正, 王林. 成果导向教育(OBE)理念辨析[J]. 广东水利电力职业技术学院 学报, 2018(1).","何静, 孔繁正, 王林",成果导向教育(OBE)理念辨析,J,,2018,1,9,已匹配,仅据论文原表
17,E017,"刘景福, 钟志贤. 基于项目的学习(PBL)模式研究[J]. 外国教育研究,  2002(11):18-22.","刘景福, 钟志贤",基于项目的学习(PBL)模式研究,J,,2002,1,9,已匹配,仅据论文原表
18,E018,"张春玲. 多元智能理论及其对素质教育的启示[J].中国教育学刊,2002(03):9-12+60.",张春玲,多元智能理论及其对素质教育的启示,J,中国教育学刊,2002,1,9,已匹配,仅据论文原表
19,E019,"李柯影, 郑燕林. 3D 打印技术在中小学教学中的应用——以英国中小学课堂引进 3D 打印技术项目为例[J]. 现代教育技术, 2015, 25(4):108-114.","李柯影, 郑燕林",3D 打印技术在中小学教学中的应用——以英国中小学课堂引进 3D 打印技术项目为例,J,,2015,1,11,已匹配,仅据论文原表
20,E020,"创新研究报告. 韩国 3D 打印产业振兴计划（2017—2019 年）.[R].北京：中国科协创 新战略研究院,2018.  42",创新研究报告,韩国 3D 打印产业振兴计划（2017—2019 年）.,R,,2018,1,11,已匹配,仅据论文原表
21,E021,"Kostakis V , Niaros V , Giotitsas C . Open source 3D printing as a means of  learning: An educational experiment in two high schools in Greece[J]. Telematics and Informatics, 2015, 32(1):118-128.","Kostakis V , Niaros V , Giotitsas C",Open source 3D printing as a means of  learning: An educational experiment in two high schools in Greece,J,,2015,1,11,已匹配,仅据论文原表
22,E022,"Mcgahern P , Bosch F , Poli D . Enhancing Learning Using 3D Printing: An  Alternative to Traditional Student Project Methods[J]. American Biology Teacher, 2015, 77(5):1-4.","Mcgahern P , Bosch F , Poli D",Enhancing Learning Using 3D Printing: An  Alternative to Traditional Student Project Methods,J,,2015,1,11,已匹配,仅据论文原表
23,E023,"黎加厚,杨晓哲,杨高云. 三维打印技术的发展对教育的启迪[J].中国医学教育技 术,2013,27(01):1-5.","黎加厚,杨晓哲,杨高云",三维打印技术的发展对教育的启迪,J,中国医学教育技 术,2013,1,13,已匹配,仅据论文原表
24,E024,"卜娟娟,肖瑞雪,麻娟,王晓曼,乌日娜. 3D打印技术在中小学教育中的应用研究[J].软 件导刊(教育技术),2014,13(12):94-95.","卜娟娟,肖瑞雪,麻娟,王晓曼,乌日娜",3D打印技术在中小学教育中的应用研究,J,软 件导刊(教育技术),2014,1,13,已匹配,仅据论文原表
25,E025,"邱望洁,李昊阳. 3D 打印技术在教育行业的应用发展前景研究[J].中国教育信息 化,2017(05):11-14.","邱望洁,李昊阳",3D 打印技术在教育行业的应用发展前景研究,J,中国教育信息 化,2017,1,13,已匹配,仅据论文原表
26,E026,"拉尔夫·泰勒. 课程与教学的基本原理[M].中国轻工业出版社,2014.",拉尔夫·泰勒,课程与教学的基本原理,M,中国轻工业出版社,2014,1,14,已匹配,仅据论文原表
27,E027,"田馨. “中国制造 2025”重大战略的新形势与现实路径研究[J].改革与战 略,2017(03):65-68.",田馨,“中国制造 2025”重大战略的新形势与现实路径研究,J,改革与战 略,2017,1,15,已匹配,仅据论文原表
28,E009,王斌华. 校本课程论[M]. 上海：上海教育出版社，2000:181-199.,王斌华,校本课程论,M,,2000,1,21,已匹配,仅据论文原表
29,E029,"吴明隆. 问卷统计分析实务:SPSS 操作与应用[M]. 重庆：重庆大学出版社, 2010:59.  致谢 两年的研究生生活转眼即逝， 回想起这两年的研究生学习过程， 特别感谢我 的老师们和同学们的指导与帮助。 首先我要非常感谢我的导师--张殷老师， 无论是在治学态度还是在工作作风 上， 张殷老师都深深地影响着我， 使我更加坚定了自己的教师理想， 而本论文从 选题到完成， 都离不开张殷老师的悉心指导和耐心帮助。 其次我还想感谢科学教 育研究所的罗星凯老师、 冯士季老师、 袁丫丫老师、 陈海深老师以及兴华创新实 践师资班的众多老师等在读研期间对我学习和生活上的帮助， 使我从迷茫的入学 状态逐渐找到了自己的研究方向和奋斗方向。 同时也要感谢我的同学们， 在研究 所一起学习、共同进步的日子非常难忘，也给我的课余生活增添了许多乐趣。 然后我还要特别感谢佛山市乐从中学信息科组的全体老师， 没有这么好的实 习条件和实习氛围， 没有他们的指导与帮助， 本研究是很难开展和实施的。 在实 习期间， 无论是对于教学技能的提升还是对于找工作考编等， 他们都给了我很多 的建议和帮助，也促使我顺利找到了理想的工作。 最后感谢我的家人，在求学的道路上离不开他们的支持和鼓励。 蔡明辉 2019 年 4 月于桂林",吴明隆,问卷统计分析实务:SPSS 操作与应用,M,,2010,1,31,已匹配,仅据论文原表
