entity_id,reference_labels,reference_text
E001,"1,11","郑贤. 基于STEAM的小学《3D打印》课程设计与教学实践研究[J].中国电化教育, 2016(8):82-86."
E002,"2,18,24","孙江山,吴永和,任友群.3D打印教育创新:创客空间、创新实验室和STEAM[J].现代远程 教育研究,2015(4):96-103."
E003,3,"李青,王青. 3D 打印:一种新兴的学习技术*[J].远程教育杂志,2013(4):29-35."
E004,4,"魏本亚.汪懋祖“学术化苏高”的表征、意蕴及启示[J].徐州师范大学学报(教育科学 版),2011(4):44-48."
E005,5,"Macdougall PJ , Henze C E ,VolkovA. Volume-Rendering on a 3D HyperwallAMolecular Visualization Platform for Research, Education and Outreach[J]. Journal of Molecular Graphics andModelling,2016:S109332631630167X."
E006,6,"刘超. 3D打印领导个性制造DIY--2013世界3D打印技术产业大会报道[J]. 新材料产 业, 2013(7):69-71."
E007,7,"龚豪. 3D设计与打印技术在小学数学课堂中的应用[J]. 现代教学, 2016(17):25-26."
E008,"8,13","杨高云. 小学“3D打印教育”课堂教学设计研究[D].上海师范大学, 2014."
E009,9,"史玉升,张李超,白宇等.3D 打印技术的发展及其软件实现[J].中国科学:信息科 学,2015,45(2):197-203."
E010,10,"姚会娟,左浩.3D打印在高校教学中的作用[J].智库时代,2017(15)."
E011,12,"金慧,刘迪,高玲慧,宋蕾.新媒体联盟《地平线报告》(2016高等教育版)解读与启示[J]. 远程教育杂志,2016,35(2):3-10."
E012,14,"张佳琦.3D 打印技术在地理教学中的应用研究[D].华东师范大学,2015."
E013,15,"张明洁.3D打印在高等教育教学中的应用研究[J].江苏科技信息,2015(22):68-69."
E014,16,"于晓燕,张庆新.3D 打印在教学与促进学生就业中的探索与实践[J].胶体与聚合 物,2018,36(01):34-36."
E015,17,"韩荣雷,孙雪冬.创客时代3D打印在高校课程开发的应用研究[J].沈阳师范大学学报 (自然科学版),2016,34(01):113-116."
E016,19,"高佳平,宋婷袅.3D 打印的 STEAM 教育应用构建与透视[J].软件导刊(教育技 术),2017,16(09):82-84."
E017,20,"Keane,Therese,W.F.Keane,andA.S.Blicblau.Beyondtraditionalliteracy:Learningand transformativepracticesusingICT.EducationandInformationTechnologies21.4(2016):769-781."
E018,21,"新媒体联盟地平线报告(2015高等教育版)[J]. 北京广播电视大学学报, 2015(2)."
E019,22,"张志恒. 日计划启动3D打印机国家项目[J]. 粉末冶金工业, 2014(4):24-24."
E020,23,"徐平. 3D打印在中小学课堂中的应用[J]. 世界教育信息, 2017(8):15-18."
E021,25,"王旭卿.面向STEM教育的创客教育模式研究[J].中国电化教育,2015(08):36-41."
E022,26,"Yakman G, Lee H. Exploring the Exemplary STEAM Education in the U.S. as a Practical EducationalFrameworkforKorea[J].GEOLOGY-GEOCHEMISTRY,2012,32(6):14-16."
E023,27,"胡卫平,首新,陈勇刚.中小学STEAM教育体系的建构与实践[J].华东师范大学学报:教 育科学版,2017,35(4):31-39."
E024,28,"新 媒 体 联 盟 地 平 线 报 告 (2014 高 等 教 育 版 )[J]. 北 京 广 播 电 视 大 学 学 报,2014,(2):14-36."
E025,29,"杨丽.初中信息技术3D打印课程的探索与实践[J].中国教育信息化,2016(11):85-87."
E026,30,"王萍.3D打印及其教育应用初探[J].中国远程教育,2013(8):83-87."
E027,31,"关绮绫.校本课程·校本课程开发·行动研究[J].教书育人,2004(1):43-44."
E028,32,"郑金洲.走向“校本”[J].教育理论与实践,2000(6):11-14."
E029,33,"SKILBECK. School-based Curriculum Development[M].London:WardLock Educational, 1976:161."
E030,34,何克抗，永柏，谢幼如.教学系统设计[M].北京：北京师范大学出版社，2002：154.
E031,35,"赵纯祥.基于建构主义的财务案例教学研究[J].湖南财政经济学院学报,2009, 25(5):150-152."
E032,36,"何克抗.教学设计理论与方法研究评论(二)[J].开放教育研究,1998(3):20-22."
E033,37,"查尔斯·M·瑞戈鲁斯, 杨非. 细化理论:学习内容选择和排序的指南[J]. 开放教育研 究,2004(2):23-26."
E034,38,"钟志贤.多元智能理论与教育技术[J].电化教育研究,2004(3):7-11."
E035,39,"祝智庭,钟志贤.现代教育技术——促进多元智能发展[M].上海:华东师范大学出版 社,2003."
E036,40,"赵茜.基于STEM理念5E教学模式的活动设计——以低碳环保实践营走进汽车博物馆活 动为例[A].中国科普研究所.面向新时代的馆校结合·科学教育——第十届馆校结合科学教 育论坛论文集[C].中国科普研究所:中国科普研究所,2018:5."
E037,41,"刘向永.普通高中信息技术课程标准(2017 年版)概览[J].中国信息技术教育, 2018(5)."
E038,42,"义务教育小学科学课程标准[M].北京师范大学出版社,中华人民共和国教育部,2017."
E039,43,"仲娇娇. STEAM教学活动设计与应用研究[D].华东师范大学,2018."
E040,44,"赵呈领,赵文君,蒋志辉.面向 STEM 教育的 5E 探究式教学模式设计[J].现代教育技 术,2018,28(03):106-112."
E041,45,"陈霞.泰勒原理对新课程的启示[J].甘肃科技纵横,2009,38(04):178-179+120."
E042,46,"江丰光,蔡瑞衡.国内外 STEM 教育评估设计的内容分析[J].中国电化教育, 2017(6):59-66."
E043,47,"Hudson P, English L, Dawes L, et al.Exploring Links between Pedagogical Knowledge Practices and Student Outcomes in STEMEducation for Primary Schools[J].Australian Journal of TeacherEducation,2015,40(6):134-141."
